Station,Site_Timestamp,Temperature
"Benediktinerabtei St. Stephan, Augsburg",2026-04-10 11:40:00,9.4
"Königsplatz, Augsburg",2026-04-10 11:40:00,8.56
Grundschule Aystetten,2026-04-10 11:40:00,9.73
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-10 11:40:00,9.97
"Benediktinerabtei St. Stephan, Augsburg",2026-04-10 12:30:00,8.72
"Königsplatz, Augsburg",2026-04-10 12:30:00,7.93
Grundschule Aystetten,2026-04-10 12:30:00,9.06
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-10 12:30:00,9.01
"Benediktinerabtei St. Stephan, Augsburg",2026-04-10 13:25:00,8.75
"Königsplatz, Augsburg",2026-04-10 13:25:00,7.91
Grundschule Aystetten,2026-04-10 13:25:00,9.38
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-10 13:25:00,9.67
"Benediktinerabtei St. Stephan, Augsburg",2026-04-10 14:05:00,9.35
"Königsplatz, Augsburg",2026-04-10 14:05:00,8.37
Grundschule Aystetten,2026-04-10 14:05:00,9.6
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-10 14:05:00,9.65
"Benediktinerabtei St. Stephan, Augsburg",2026-04-10 15:00:00,9.53
"Königsplatz, Augsburg",2026-04-10 15:00:00,8.71
Grundschule Aystetten,2026-04-10 15:00:00,10.38
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-10 15:00:00,9.91
"Benediktinerabtei St. Stephan, Augsburg",2026-04-10 15:40:00,10.08
"Königsplatz, Augsburg",2026-04-10 15:45:00,9.07
Grundschule Aystetten,2026-04-10 15:45:00,10.8
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-10 15:45:00,10.6
"Benediktinerabtei St. Stephan, Augsburg",2026-04-10 16:40:00,11.17
"Königsplatz, Augsburg",2026-04-10 16:40:00,9.9
Grundschule Aystetten,2026-04-10 16:40:00,11.15
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-10 16:40:00,11.23
"Benediktinerabtei St. Stephan, Augsburg",2026-04-10 17:35:00,10.34
"Königsplatz, Augsburg",2026-04-10 17:35:00,9.85
Grundschule Aystetten,2026-04-10 17:35:00,11.25
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-10 17:35:00,11.43
"Benediktinerabtei St. Stephan, Augsburg",2026-04-10 18:35:00,10.1
"Königsplatz, Augsburg",2026-04-10 18:35:00,9.34
Grundschule Aystetten,2026-04-10 18:35:00,10.87
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-10 18:35:00,10.75
"Benediktinerabtei St. Stephan, Augsburg",2026-04-10 19:30:00,9.71
"Königsplatz, Augsburg",2026-04-10 19:30:00,9.02
Grundschule Aystetten,2026-04-10 19:30:00,10.33
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-10 19:30:00,9.89
"Benediktinerabtei St. Stephan, Augsburg",2026-04-10 20:30:00,9.63
"Königsplatz, Augsburg",2026-04-10 20:30:00,8.73
Grundschule Aystetten,2026-04-10 20:30:00,9.42
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-10 20:30:00,9.27
"Benediktinerabtei St. Stephan, Augsburg",2026-04-10 21:30:00,9.4
"Königsplatz, Augsburg",2026-04-10 21:30:00,8.32
Grundschule Aystetten,2026-04-10 21:30:00,8.49
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-10 21:30:00,8.47
"Benediktinerabtei St. Stephan, Augsburg",2026-04-10 22:05:00,9.17
"Königsplatz, Augsburg",2026-04-10 22:05:00,7.91
Grundschule Aystetten,2026-04-10 22:05:00,8.19
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-10 22:05:00,8.66
"Benediktinerabtei St. Stephan, Augsburg",2026-04-10 22:55:00,8.88
"Königsplatz, Augsburg",2026-04-10 22:55:00,7.64
Grundschule Aystetten,2026-04-10 22:55:00,7.89
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-10 22:55:00,8.44
"Benediktinerabtei St. Stephan, Augsburg",2026-04-10 23:50:00,8.59
"Königsplatz, Augsburg",2026-04-10 23:50:00,7.37
Grundschule Aystetten,2026-04-10 23:50:00,7.77
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-10 23:50:00,7.96
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 00:45:00,8.44
"Königsplatz, Augsburg",2026-04-11 00:45:00,7.35
Grundschule Aystetten,2026-04-11 00:45:00,7.58
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 00:45:00,8.58
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 01:20:00,7.89
"Königsplatz, Augsburg",2026-04-11 01:20:00,6.99
Grundschule Aystetten,2026-04-11 01:20:00,6.87
"Sternwarte Streitheim, Markt Zusmarshausen",2026-04-11 01:20:00,8.12
"Benediktinerabtei St. Stephan, Augsburg",2026-04-11 02:00:00,7.21
